id du document;Nom du matériel;Description;Etat de la fiche;lien vers la photo;Statut de la fiche;Nom du matériel de backup;Pays impacté;Composant matériel;Marque;Modèle;Type de matériel;Numéro de série;Technologie;Pays d'hébergement;Ville;Site;Nom du site;Localisation;Emplacement;Contact sur le site;Affecté à;Composant hébergé;Criticité;RD;RA;Société propriétaire;Pays propriétaire;Date d'entrée;Date de mise à jour;Date de fin;Type de contrat d'assistance;Nom prestataire;Numéro de contrat;Date de début du contrat;Date de fin du contrat;Réseau : ip;Sous-réseau;passerelle;Adresse Mac;Supervision;Accessibilité;Fournisseur;Numéro de commande;Coût de l'achat;Numéro de la facture;Valeur;Bon de livraison;Date de la commande;Date de livraison;Type escalade N2;Escalade N2;Escalade N3;Attribut 1;Attribut 2;Attribut 3;Attribut 4;Attribut 5;Attribut 6;Attribut 7;Attribut 8;Attribut 9;Attribut 10;Attribut 11;Attribut 12;Attribut 13;Attribut 14;Attribut 15;Attribut 16;Attribut 17;Attribut 18;Attribut 19;Attribut 20;Attribut 21;Attribut 22;Attribut 23;Attribut 24;Attribut 25;Attribut 26;Attribut 27;Attribut 28;Attribut 29;Attribut 30
;scannercaisXXXfm21;Scanner CLS N°21 de F0XXX;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Magellan;Bi-optique 9800i;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;scannercaisXXXfm22;Scanner CLS N°22 de F0XXX;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Magellan;Bi-optique 9800i;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;scannercaisXXXfm23;Scanner CLS N°23 de F0XXX;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Magellan;Bi-optique 9800i;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;scannercaisXXXfm24;Scanner CLS N°24 de F0XXX;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Magellan;Bi-optique 9800i;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmonnayeurXXXfm45;Monnayeur CLS N°21 et N° 22 - MATCH – XXX - xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Glory;RCW-100;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;Glory;;;;172.24.xIP.45;255.255.255.0;172.24.xIP.254;;;"Ping;VNC";;;;;;;;;Externe;Glory;;Unité caisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmonnayeurXXXfm46;Monnayeur CLS N°23 et N° 24 - MATCH – XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Glory;RCW-100;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;Glory;;;;172.24.xIP.46;255.255.255.0;172.24.xIP.254;;;"Ping;VNC";;;;;;;;;Externe;Glory;;Unité caisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;impcaiXXXfm21;Imprimante CLS N° 21 - MATCH – XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Epson;TM M30;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;Imprimante caisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;impcaiXXXfm22;Imprimante CLS N° 22 - MATCH – XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Epson;TM M30;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;Imprimante caisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;impcaiXXXfm23;Imprimante CLS N° 23 - MATCH – XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Epson;TM M30;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;Imprimante caisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;impcaiXXXfm24;Imprimante CLS N° 24 - MATCH – XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;Epson;TM M30;;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;;;;;;;;;;;;;;;Externe;PEBIX;;Imprimante caisse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cXXXfm21;Caisse Libre Service n° 21 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;HP;FLEX PRO C;Ubuntu;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;172.24.xIP.31;255.255.255.0;172.24.xIP.254;;;"Ping;VNC";;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cXXXfm22;Caisse Libre Service n° 22 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;HP;FLEX PRO C;Ubuntu;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;172.24.xIP.32;255.255.255.0;172.24.xIP.254;;;"Ping;VNC";;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cXXXfm23;Caisse Libre Service n° 23 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;HP;FLEX PRO C;Ubuntu;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;172.24.xIP.33;255.255.255.0;172.24.xIP.254;;;"Ping;VNC";;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cXXXfm24;Caisse Libre Service n° 24 de xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;HP;FLEX PRO C;Ubuntu;;Physique;France;xVille;F0XXX;xSite;;;xContact;;Camélia;5 Normal;xRD;xRA;Match;France;;xDate;;;PEBIX;;;;172.24.xIP.34;255.255.255.0;172.24.xIP.254;;;"Ping;VNC";;;;;;;;;Externe;PEBIX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmatXXXfm21;Mat Caisse Libre Service N° 21 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmatXXXfm22;Mat Caisse Libre Service N° 22 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmatXXXfm23;Mat Caisse Libre Service N° 23 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;cmatXXXfm24;Mat Caisse Libre Service N° 24 - MATCH - XXX – xSite;Actif (en parc);\\match-supermarket.com\DSI\DSI_Photos_Mag_FR\Photos\France\XXX;Production;;France;Caisses;ITAB;Light Tower Controller;LTC-02;;Physique;France;xVille;F0XXX;xSite;;;xContact;;;5 Normal;xRD;xRA;Match;France;;xDate;;;ITAB;;;;;;;;;"Ping;VNC";;;;;;;;;Externe;ITAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
